code,name,type,report_code,notes
# Xero AU default chart for a Pty Ltd company plus every account seen in the 2025/2026 Fortis packs. Replace/extend with the firm's chart when it is uploaded. Columns: code (may be blank - then matched by name), name, Xero account type, report code (see references/account-mapping.md), notes.
# ---- Revenue (P&L: Income)
200,Sales,Revenue,REV.TRA,Xero default
201,Sale of goods,Revenue,REV.TRA,Padel Point
202,Sale of products,Revenue,REV.TRA,Capstone
203,Commissions collected,Revenue,REV.TRA,Frontier Travel - trading income
204,Consulting Fees,Revenue,REV.TRA,
205,Service Fees,Revenue,REV.TRA,
206,Management Fees,Revenue,REV.TRA,
207,Test,Revenue,REV.TRA,Complex Communicators (assessment income)
208,BAC Wage Subsidies,Revenue,REV.TRA,Frontier Travel - coded to trading income in the source pack
# ---- Other Income (P&L: Other Income)
260,Other Revenue,Other Income,REV.OTH,Xero default
261,Consulting Fees Collected,Other Income,REV.OTH,Wisdom IT
262,FBT Employee Contributions,Other Income,REV.OTH,Wisdom IT / Frontier
263,FBT employee contribution,Other Income,REV.OTH,Frontier
270,Interest Income,Other Income,REV.OTH,Xero default
271,Interest received,Other Income,REV.OTH,
272,Interest Received,Other Income,REV.OTH,
273,Other income & refunds,Other Income,REV.OTH,Frontier
274,Overrides,Other Income,REV.OTH,Frontier - supplier override commissions
275,Dividends Received,Other Income,REV.OTH,
276,Rent Received,Other Income,REV.OTH,
277,Gain on Disposal of Assets,Other Income,REV.OTH,
278,Government Grants,Other Income,REV.OTH,
# ---- Cost of Sales (P&L: Cost of Sales / Cost of Goods Sold)
300,Opening stock,Direct Costs,EXP.COS,Capstone
310,Cost of Goods Sold,Direct Costs,EXP.COS,Xero default
311,Purchases,Direct Costs,EXP.COS,
312,Closing stock,Direct Costs,EXP.COS,credit balance - shown in brackets
313,Assessment Program,Direct Costs,EXP.COS,Complex Communicators
314,Consultant,Direct Costs,EXP.COS,Complex Communicators
315,Therapy Resource,Direct Costs,EXP.COS,Complex Communicators
316,Subcontractors,Direct Costs,EXP.COS,
317,Direct Wages,Direct Costs,EXP.COS,
318,Freight Inwards,Direct Costs,EXP.COS,
# ---- Expenses (P&L: Expenses) - Xero defaults
400,Advertising,Expense,EXP.OPE,Xero default
401,Advertising & Marketing,Expense,EXP.OPE,
402,Marketing & Promotion,Expense,EXP.OPE,
404,Bank Fees,Expense,EXP.OPE,Xero default
405,Bank charges,Expense,EXP.OPE,
406,Bank Fees & charges,Expense,EXP.OPE,
407,Merchant fees,Expense,EXP.OPE,
408,Cleaning,Expense,EXP.OPE,Xero default
412,Consulting & Accounting,Expense,EXP.OPE,Xero default
413,Accounting & Consulting,Expense,EXP.OPE,
414,Accounting fees,Expense,EXP.OPE,
415,Bookkeeping,Expense,EXP.OPE,
416,Depreciation,Depreciation,EXP.OPE,Xero default
417,Amortisation,Depreciation,EXP.OPE,
418,Instant Write-Off Assets,Depreciation,EXP.OPE,Complex Communicators
420,Entertainment,Expense,EXP.OPE,Xero default
425,Freight & Courier,Expense,EXP.OPE,Xero default
429,General Expenses,Expense,EXP.OPE,Xero default
430,Sundry expense,Expense,EXP.OPE,
433,Insurance,Expense,EXP.OPE,Xero default
434,Workers Compensation,Expense,EXP.OPE,
435,Workcover,Expense,EXP.OPE,
437,Interest Expense,Expense,EXP.OPE,Xero default
441,Legal expenses,Expense,EXP.OPE,Xero default
442,Filing Fees,Expense,EXP.OPE,ASIC annual review
443,Compliance fee,Expense,EXP.OPE,
445,"Light, Power, Heating",Expense,EXP.OPE,Xero default
446,Electricity,Expense,EXP.OPE,
447,"Utilities (Light, Power, Heating)",Expense,EXP.OPE,
449,Motor Vehicle Expenses,Expense,EXP.OPE,Xero default
450,MV - Other vehicle expenses,Expense,EXP.OPE,
